Loyalty Number,Segment,Cluster,CLV,CLV_Tier,Churn_Probability,Risk_Tier,Formal_Churn,Behavioral_Churn,Never_Flew,Total_Flights,Activity_Rate,Flights_Trend,Months_Since_Last_Flight_at_cutoff,Redemption_Ratio,Tenure,Salary_Imputed,Card_Enc,Education_Enc,Marital_Enc
645280,Loyal Core,1,3939.01,Standard,0.3185886183702634,Stable,0,0,0,26,0.34615251479802,0,1.0,0.0283650825889153,5,75827.0,0,2,1
124678,Loyal Core,1,3954.34,Standard,0.3230051434306308,Stable,0,0,0,26,0.34615251479802,-2,1.0,0.0071274500442477,4,152955.0,0,4,1
186015,Loyal Core,1,3954.34,Standard,0.3282552515440337,Stable,0,0,0,16,0.3124980468872069,-4,0.0,0.0,2,152955.0,0,4,1
589580,Loyal Core,1,3954.34,Standard,0.3304713811122535,Stable,0,0,0,27,0.2962951989066707,-5,0.0,0.0146500713841051,2,152955.0,0,4,1
623688,Loyal Core,1,3954.34,Standard,0.3298025906119951,Stable,0,0,0,28,0.3214274234734876,-2,0.0,0.0143049652445216,1,152955.0,0,4,1
256147,Loyal Core,1,3958.0,Standard,0.3074788568973917,Stable,0,0,0,26,0.34615251479802,0,0.0,0.0080242383884672,5,73510.0,0,1,1
329382,Gone Dark,0,3961.59,Standard,0.948353972173537,High Risk,0,0,1,0,0.0,0,999.0,0.0,5,73510.0,0,1,0
140392,Reward Maximizers,3,3963.39,Standard,0.3312058643025345,Stable,0,0,0,15,0.4666635555762962,7,2.0,0.0371705779653167,4,96814.0,0,2,1
230908,Loyal Core,1,3964.15,Standard,0.3137828488928273,Stable,0,0,0,29,0.3103437574353191,-3,0.0,0.0189374740382954,5,217538.0,0,4,2
972581,Reward Maximizers,3,3964.53,Standard,0.3250039310571818,Stable,0,0,0,16,0.4999968750195311,-2,1.0,0.0313373545616332,1,48744.0,0,0,1
910875,Loyal Core,1,3966.13,Standard,0.4318396406455145,Watch,0,0,0,8,0.499993750078124,-6,5.0,0.0,5,84914.0,0,2,1
501704,Reward Maximizers,3,3974.86,Standard,0.386395650966876,Watch,0,0,0,18,0.2777762345764746,4,0.0,0.1212952464589704,4,73510.0,0,1,2
529098,Reward Maximizers,3,3974.86,Standard,0.7244602903219954,High Risk,0,0,0,5,0.1999960000799984,5,0.0,0.0749598703858768,0,73510.0,0,1,2
567875,New & Volatile,2,3979.72,Standard,0.550097759726419,High Risk,0,0,0,4,0.7499812504687383,2,0.0,0.0,0,102457.0,0,2,1
688524,Reward Maximizers,3,3980.42,Standard,0.3606373928106831,Watch,0,0,0,11,0.454541322351615,1,0.0,0.1276500344094662,4,103862.0,0,2,1
269070,Loyal Core,1,3985.32,Standard,0.311502077983646,Stable,0,0,0,28,0.3928557398009293,0,0.0,0.0187684756016273,4,93153.0,0,3,1
387705,Loyal Core,1,3985.32,Standard,0.3212958105247359,Stable,0,0,0,20,0.2999985000074999,10,1.0,0.0155734459034794,4,93153.0,0,3,1
923293,Loyal Core,1,3985.55,Standard,0.3205744261426134,Stable,0,0,0,32,0.3124990234405517,6,0.0,0.0111765184299256,1,86793.0,0,2,2
114835,New & Volatile,2,4001.52,Standard,0.5941002589800405,High Risk,0,0,0,8,0.499993750078124,8,0.0,0.0,0,101354.0,0,3,2
328936,New & Volatile,2,4005.72,Standard,0.3357348796886559,Stable,0,0,0,27,0.3333320987700046,13,0.0,0.0297918515346688,2,53118.0,0,2,1
845864,Loyal Core,1,4013.85,Standard,0.3423947661043337,Stable,0,0,0,26,0.3076911242649067,-12,2.0,0.0428420199176722,4,115440.0,0,4,1
645265,Loyal Core,1,4013.95,Standard,0.2989286636935876,Stable,0,0,0,17,0.4705854671443109,-5,0.0,0.0,4,73313.0,0,2,1
223587,New & Volatile,2,4013.96,Standard,0.5610526889357926,High Risk,0,0,0,10,0.3999960000399996,10,0.0,0.0297561498025773,0,100167.0,0,2,1
158560,Reward Maximizers,3,4014.45,Standard,0.3218170015632175,Stable,0,0,0,15,0.399997333351111,1,0.0,0.0544614846006383,2,59262.0,0,2,1
417584,Loyal Core,1,4014.45,Standard,0.3282009553570525,Stable,0,0,0,19,0.3157878116430966,-1,2.0,0.01935771910783,3,59262.0,0,2,1
425854,New & Volatile,2,4016.13,Standard,0.328875825228462,Stable,0,1,0,22,0.3181803719074004,2,0.0,0.0181755235757442,1,39079.0,0,0,1
695855,Loyal Core,1,4019.38,Standard,0.3177690851834751,Stable,0,0,0,15,0.5999960000266665,-3,1.0,0.0179431251576479,4,73510.0,0,1,2
699511,Loyal Core,1,4019.38,Standard,0.3242344762302104,Stable,0,0,0,20,0.3499982500087499,2,1.0,0.0,3,73510.0,0,1,2
377322,Loyal Core,1,4023.81,Standard,0.3221023663173867,Stable,0,0,0,27,0.2962951989066707,-3,0.0,0.0191282986486854,1,62518.0,0,2,1
511053,Reward Maximizers,3,4023.81,Standard,0.3089879746746312,Stable,0,0,0,15,0.399997333351111,-3,0.0,0.032001915198907,2,62518.0,0,2,1
890753,Reward Maximizers,3,4025.1,Standard,0.6996936306285398,High Risk,0,0,0,5,0.1999960000799984,5,0.0,0.0695192301007766,0,73510.0,0,1,1
796670,Loyal Core,1,4035.68,Standard,0.3242194826817293,Stable,0,0,0,30,0.2999990000033333,2,0.0,0.0088941594830922,3,47536.0,0,2,1
556136,New & Volatile,2,4035.77,Standard,0.3605455201296298,Watch,0,0,0,18,0.4444419753223593,4,0.0,0.0296039546019435,0,73510.0,0,1,1
513081,Reward Maximizers,3,4037.5,Standard,0.318182491554297,Stable,0,0,0,12,0.5833284722627311,2,0.0,0.0437247317466833,2,98320.0,0,2,1
930718,Loyal Core,1,4037.55,Standard,0.3246189719933715,Stable,0,0,0,26,0.34615251479802,4,0.0,0.0365260011531003,2,63577.0,0,0,1
235872,Loyal Core,1,4046.94,Standard,0.3217699805799994,Stable,0,0,0,26,0.2692297337317933,-2,0.0,0.0290880502451685,4,89057.0,0,4,0
295147,New & Volatile,2,4048.16,Standard,0.389725879770055,Watch,0,0,0,15,0.3333311111259258,5,2.0,0.0413163172080911,0,99814.0,0,2,1
306110,Reward Maximizers,3,4053.37,Standard,0.3393299804960167,Stable,0,0,0,10,0.4999950000499995,-2,0.0,0.0550985132727375,4,64587.0,0,2,1
295217,Reward Maximizers,3,4059.57,Standard,0.3605163516840929,Watch,0,0,0,10,0.4999950000499995,-2,0.0,0.0536891839987061,1,67411.0,0,4,2
591731,Loyal Core,1,4064.18,Standard,0.3217540808681418,Stable,0,0,0,24,0.4166649305627893,-6,2.0,0.0162776024825801,4,51370.0,0,2,1
326905,New & Volatile,2,4068.09,Standard,0.3736890189711717,Watch,0,0,0,19,0.3157878116430966,-1,2.0,0.0,0,73510.0,0,1,1
375511,New & Volatile,2,4070.05,Standard,0.3357531555828844,Stable,0,0,0,26,0.34615251479802,16,0.0,0.0293361477921134,3,59300.0,0,2,0
485283,New & Volatile,2,4072.85,Standard,0.6668677551145179,High Risk,0,0,0,2,0.9999500024998748,2,1.0,0.0,0,102479.0,0,2,0
797685,Reward Maximizers,3,4079.13,Standard,0.5871346339585144,High Risk,0,0,0,10,0.3999960000399996,10,0.0,0.0727304895352106,0,73510.0,0,1,1
216467,Loyal Core,1,4083.56,Standard,0.3090773648752739,Stable,0,0,0,14,0.4999964285969386,0,0.0,0.0,3,90995.0,0,4,1
539673,Loyal Core,1,4087.51,Standard,0.3223266712231794,Stable,1,1,0,22,0.3636347107513147,-4,0.0,0.0162878167905549,2,49558.0,0,2,1
484718,Loyal Core,1,4089.46,Standard,0.3224677438972432,Stable,0,0,0,17,0.411762283751272,1,2.0,0.016358106663247,5,76367.0,0,2,0
528492,Loyal Core,1,4090.75,Standard,0.3378598185724104,Stable,1,0,0,23,0.3478245746757623,1,0.0,0.0167646818247882,2,60360.0,0,2,1
995091,Gone Dark,0,4095.2,Standard,0.8985312264681663,High Risk,0,0,0,0,0.0,0,999.0,0.0,0,55454.0,0,2,1
632793,New & Volatile,2,4097.37,Standard,0.3446903923092037,Stable,0,0,0,17,0.4705854671443109,9,0.0,0.031797900887338,1,60370.0,0,0,0
382197,New & Volatile,2,4100.47,Standard,0.7806493428921496,High Risk,1,1,0,1,0.999900009999,1,1.0,0.0,0,69367.0,0,2,1
705196,Loyal Core,1,4101.94,Standard,0.3361068470461184,Stable,0,0,0,28,0.3214274234734876,2,2.0,0.0,4,73510.0,0,1,0
119488,New & Volatile,2,4108.26,Standard,0.5967124605601538,High Risk,0,0,0,13,0.3076899408466089,13,0.0,0.0,0,73510.0,0,1,0
287750,Loyal Core,1,4109.31,Standard,0.3042525841752747,Stable,0,0,0,19,0.4210504155241288,-3,0.0,0.043475144104243,5,73510.0,0,1,0
735846,Reward Maximizers,3,4109.79,Standard,0.4863912802790985,Watch,0,0,0,6,0.6666555557407376,2,0.0,0.1878236279958633,5,95318.0,0,2,1
606026,Loyal Core,1,4110.62,Standard,0.3106138204288644,Stable,0,0,0,27,0.4074058984966722,7,0.0,0.0124771005286005,2,55207.0,0,2,0
460291,Loyal Core,1,4111.2,Standard,0.3056205272691894,Stable,0,0,0,18,0.3333314814917695,-6,0.0,0.0,2,55476.0,0,2,2
743001,Reward Maximizers,3,4111.89,Standard,0.5381015654550034,High Risk,0,0,0,8,0.249996875039062,-2,1.0,0.0367908627898252,0,79533.0,0,2,1
869799,New & Volatile,2,4111.89,Standard,0.506090072100922,High Risk,0,0,0,7,0.4285653062099113,3,1.0,0.0,2,79533.0,0,2,1
279419,Loyal Core,1,4117.37,Standard,0.3418829307521392,Stable,0,0,0,41,0.3658527662127653,19,1.0,0.0195911043948445,4,73510.0,0,1,0
170585,Loyal Core,1,4118.59,Standard,0.3202502709844848,Stable,0,0,0,17,0.411762283751272,-3,2.0,0.0147358462569646,4,82675.0,0,2,0
188340,New & Volatile,2,4118.59,Standard,0.3764800140214835,Watch,0,0,0,20,0.2999985000074999,8,0.0,0.0455631083705534,0,82675.0,0,2,0
670817,New & Volatile,2,4118.59,Standard,0.3128453176273065,Stable,0,0,0,21,0.3809505669020623,1,0.0,0.0224187238341319,1,82675.0,0,2,0
509513,Loyal Core,1,4121.25,Standard,0.358302346848411,Watch,0,0,0,25,0.31999872000512,17,0.0,0.0112269759063892,5,73510.0,0,1,0
779247,Loyal Core,1,4122.57,Standard,0.3117197490202113,Stable,0,0,0,25,0.27999888000448,9,0.0,0.0,5,86987.0,0,2,1
111255,Loyal Core,1,4122.96,Standard,0.3299792164765521,Stable,0,0,0,23,0.3913026465102325,13,0.0,0.0,4,70272.0,0,0,1
763061,New & Volatile,2,4126.61,Standard,0.3870839715662276,Watch,0,1,0,11,0.363633057881292,7,0.0,0.0238062218656394,3,56845.0,0,2,1
428919,New & Volatile,2,4139.9,Standard,0.32406568187036,Stable,0,0,0,16,0.4374972656420897,0,0.0,0.0,2,58209.0,0,2,2
139863,Loyal Core,1,4142.56,Standard,0.3313162726397812,Stable,0,0,0,16,0.3749976562646483,0,2.0,0.0254234773341734,2,67223.0,0,2,1
695755,Gone Dark,0,4144.87,Standard,0.9503273395149628,High Risk,0,0,1,0,0.0,0,999.0,0.0,5,79088.0,0,2,1
355331,Loyal Core,1,4145.02,Standard,0.3260097825037993,Stable,0,0,0,31,0.3225796045819207,-5,1.0,0.0454556242838528,4,73510.0,0,1,2
578837,Loyal Core,1,4152.65,Standard,0.297580017847329,Stable,0,0,0,21,0.476188208627578,-3,0.0,0.02342060606334,5,73510.0,0,1,0
467182,Loyal Core,1,4160.02,Standard,0.3298036151388625,Stable,1,0,0,22,0.3181803719074004,-10,2.0,0.0,4,102347.0,0,2,1
601407,Loyal Core,1,4165.17,Standard,0.3961049350025829,Watch,0,0,0,11,0.272724793410969,-1,5.0,0.0,2,72809.0,0,2,1
700871,New & Volatile,2,4165.25,Standard,0.3138538354570531,Stable,0,0,0,24,0.3749984375065104,8,0.0,0.0,2,74567.0,0,2,1
203809,Gone Dark,0,4165.35,Standard,0.9450072979065576,High Risk,0,0,1,0,0.0,0,999.0,0.0,5,54160.0,0,0,1
705589,Loyal Core,1,4165.99,Standard,0.3039564324027338,Stable,0,0,0,27,0.3333320987700046,-1,0.0,0.0,5,73510.0,0,1,0
746060,Loyal Core,1,4167.09,Standard,0.3198189710018222,Stable,0,0,0,27,0.3703689986333384,9,0.0,0.0103338242259847,3,73510.0,0,1,1
469718,Loyal Core,1,4167.42,Standard,0.3237380537602673,Stable,0,0,0,21,0.3809505669020623,7,0.0,0.0275979394754598,4,73544.0,0,2,1
164429,Loyal Core,1,4169.36,Standard,0.3131173605159209,Stable,0,0,0,26,0.3076911242649067,-10,1.0,0.0256255217942889,5,57852.0,0,2,0
708373,New & Volatile,2,4169.36,Standard,0.3722511645698118,Watch,0,0,0,19,0.3157878116430966,3,1.0,0.0,0,57852.0,0,2,0
225088,New & Volatile,2,4170.34,Standard,0.4208764612646353,Watch,0,0,0,16,0.3124980468872069,14,0.0,0.0,2,97991.0,0,2,1
100214,Reward Maximizers,3,4170.57,Standard,0.3779240961602542,Watch,0,0,0,10,0.3999960000399996,6,0.0,0.0473441105941707,2,63253.0,0,2,1
459999,New & Volatile,2,4170.69,Standard,0.6556397282014467,High Risk,0,0,0,6,0.3333277778703688,6,1.0,0.0,0,53465.0,0,2,0
268128,Loyal Core,1,4177.88,Standard,0.3243429221711022,Stable,0,0,0,19,0.4210504155241288,-11,1.0,0.0439502013913862,4,47663.0,0,0,1
930584,New & Volatile,2,4185.76,Standard,0.3097990848480694,Stable,0,0,0,17,0.411762283751272,5,0.0,0.0211774287471042,2,73510.0,0,1,0
327796,New & Volatile,2,4191.06,Standard,0.6403525806622008,High Risk,0,0,0,6,0.3333277778703688,6,1.0,0.0,0,73510.0,0,1,0
947467,Loyal Core,1,4196.43,Standard,0.3030548410991599,Stable,0,0,0,17,0.3529391003582331,1,0.0,0.0,2,49937.0,0,2,1
743510,New & Volatile,2,4196.65,Standard,0.4482693201541416,Watch,0,0,0,8,0.374995312558593,0,3.0,0.0,1,73510.0,0,1,0
580324,Reward Maximizers,3,4198.03,Standard,0.3512747088918342,Watch,0,0,0,10,0.4999950000499995,-2,1.0,0.0538708876879995,4,61113.0,0,2,1
423324,Gone Dark,0,4200.37,Standard,0.8965494737524115,High Risk,0,0,0,0,0.0,0,999.0,0.0,0,69599.0,0,2,2
101945,Loyal Core,1,4202.66,Standard,0.3071367878660775,Stable,0,0,0,19,0.3684191135836127,-5,1.0,0.0,4,86098.0,0,2,1
713636,Loyal Core,1,4212.8,Standard,0.3198103860757948,Stable,0,0,0,21,0.3809505669020623,7,0.0,0.0,3,48109.0,0,4,1
302509,New & Volatile,2,4213.92,Standard,0.5741234934264883,High Risk,0,0,0,11,0.363633057881292,11,0.0,0.0,0,74238.0,0,4,1
789421,New & Volatile,2,4217.86,Standard,0.3125932368713058,Stable,0,0,0,15,0.4666635555762962,7,0.0,0.0,1,73510.0,0,1,0
404426,Reward Maximizers,3,4223.27,Standard,0.3429839122161887,Stable,0,0,0,10,0.3999960000399996,2,0.0,0.0269010233808422,3,99696.0,0,4,1
438023,Loyal Core,1,4228.73,Standard,0.3646124688327385,Watch,0,0,0,11,0.363633057881292,-9,1.0,0.0,4,73510.0,0,1,1
872932,New & Volatile,2,4236.3,Standard,0.3074442361601111,Stable,0,0,0,16,0.4374972656420897,4,1.0,0.0193045201046903,2,72685.0,0,0,1
407945,Loyal Core,1,4236.47,Standard,0.3095393577597334,Stable,0,0,0,24,0.4166649305627893,4,0.0,0.0113998893798122,5,75108.0,0,2,1
211714,Loyal Core,1,4236.84,Standard,0.3255493599778034,Stable,0,0,0,27,0.3703689986333384,1,0.0,0.0365949383229261,2,103572.0,0,4,1
410982,New & Volatile,2,4237.37,Standard,0.35002995420303,Watch,0,0,0,23,0.304346502841292,7,0.0,0.0248989539819846,0,132353.0,0,3,1
905213,Reward Maximizers,3,4237.37,Standard,0.3490000183230958,Stable,0,0,0,15,0.2666648889007407,7,0.0,0.0529704668055869,2,132353.0,0,3,1
147898,Loyal Core,1,4241.64,Standard,0.331562163349547,Stable,0,0,0,20,0.3499982500087499,0,3.0,0.045583775443569,5,59849.0,0,0,2
530105,New & Volatile,2,4242.69,Standard,0.7706244801517229,High Risk,1,1,0,1,0.999900009999,1,0.0,0.0,0,73510.0,0,1,0
610946,Reward Maximizers,3,4244.47,Standard,0.3057579336541791,Stable,0,0,0,20,0.44999775001125,-2,0.0,0.0565316120611465,1,56947.0,0,2,1
383108,Loyal Core,1,4247.68,Standard,0.374804023687588,Watch,0,0,0,15,0.3333311111259258,11,1.0,0.0,5,64497.0,0,2,1
836343,New & Volatile,2,4247.68,Standard,0.4193685423363936,Watch,0,0,0,22,0.2272716942195717,12,0.0,0.0213881235790169,0,64497.0,0,2,1
585357,Loyal Core,1,4250.28,Standard,0.3053553755632246,Stable,0,0,0,25,0.4399982400070399,1,0.0,0.0096378906522431,1,73510.0,0,1,0
784804,New & Volatile,2,4250.28,Standard,0.4298461707076204,Watch,0,0,0,7,0.5714204082798817,1,0.0,0.0,2,73510.0,0,1,0
719633,Gone Dark,0,4250.78,Standard,0.9126527641069154,High Risk,0,0,1,0,0.0,0,999.0,0.0,1,52109.0,0,2,2
715764,Reward Maximizers,3,4253.28,Standard,0.3099800823991153,Stable,0,0,0,15,0.399997333351111,1,0.0,0.0581400021786819,1,73510.0,0,1,0
753473,Loyal Core,1,4254.62,Standard,0.3266142955896784,Stable,0,0,0,24,0.3333319444502314,6,0.0,0.0,4,70996.0,0,4,0
980856,Loyal Core,1,4254.62,Standard,0.327531214018263,Stable,0,0,0,24,0.3333319444502314,2,0.0,0.0,2,70996.0,0,4,0
271660,Loyal Core,1,4270.03,Standard,0.3487199001121494,Stable,0,0,0,11,0.545449586821938,-7,3.0,0.0,2,73510.0,0,1,1
264936,Loyal Core,1,4272.81,Standard,0.3333953511192454,Stable,0,0,0,21,0.3333317460393046,3,0.0,0.0,4,73510.0,0,1,0
976513,Loyal Core,1,4273.59,Standard,0.3119053065163084,Stable,0,0,0,22,0.3636347107513147,-2,0.0,0.0236556933522862,3,92067.0,0,2,1
828776,New & Volatile,2,4274.62,Standard,0.3920239861598682,Watch,0,0,0,13,0.3076899408466089,7,0.0,0.0,0,60899.0,0,2,1
240362,New & Volatile,2,4276.36,Standard,0.3445786125927383,Stable,0,0,0,12,0.4999958333680552,8,0.0,0.0,3,58756.0,0,2,1
137845,Loyal Core,1,4277.27,Standard,0.3066767025899458,Stable,0,0,0,26,0.4230752958642467,4,0.0,0.0,4,88445.0,0,2,1
430569,Loyal Core,1,4277.56,Standard,0.318895212047989,Stable,0,0,0,25,0.31999872000512,1,0.0,0.0273607295464926,1,87462.0,0,2,1
625870,Loyal Core,1,4282.95,Standard,0.3026586901542775,Stable,0,0,0,20,0.3999980000099999,0,0.0,0.0,4,61809.0,0,2,1
660554,Reward Maximizers,3,4282.95,Standard,0.6446084802479173,High Risk,0,0,0,6,0.3333277778703688,6,0.0,0.0701873597690771,0,61809.0,0,2,1
917630,New & Volatile,2,4282.95,Standard,0.3130943175051092,Stable,0,0,0,17,0.2941159169651943,-1,0.0,0.0,1,61809.0,0,2,1
717660,New & Volatile,2,4293.01,Standard,0.398439885637246,Watch,0,0,0,9,0.5555493827846357,1,4.0,0.0,2,73510.0,0,1,0
450621,Reward Maximizers,3,4296.6,Standard,0.3398212136905699,Stable,0,0,0,11,0.545449586821938,-1,3.0,0.0293544895106059,2,77083.0,0,2,1
939562,Loyal Core,1,4297.02,Standard,0.3134305171889046,Stable,0,0,0,26,0.3076911242649067,-10,1.0,0.0119321062794734,1,95467.0,0,2,1
135250,Loyal Core,1,4298.66,Standard,0.3203678428466497,Stable,0,0,0,18,0.3333314814917695,8,0.0,0.014141963502304,4,88089.0,0,2,1
714555,Loyal Core,1,4299.84,Standard,0.3057358163457251,Stable,0,0,0,26,0.3846139053311333,-6,0.0,0.0158536888009003,4,64387.0,0,2,2
947868,Loyal Core,1,4300.9,Standard,0.3179839693257698,Stable,0,0,0,24,0.2916654513939525,-2,1.0,0.0098637857928743,5,96733.0,0,2,1
228580,Reward Maximizers,3,4305.79,Standard,0.3320646828787778,Stable,0,0,0,15,0.4666635555762962,7,0.0,0.104062229305317,5,54643.0,0,2,0
