Loyalty Number,Male_Enc,Education_Enc,Marital_Enc,Card_Enc,Salary_Imputed,Salary_Was_Imputed,CLV,Tenure,Promo_Enroll,Total_Flights,Total_Distance,Total_Points_Acc,Total_Points_Red,Avg_Flights_Month,Max_Flights_Month,Active_Months,Activity_Rate,Redemption_Ratio,Avg_Distance_Per_Flight,Months_Since_Last_Flight_at_cutoff,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4,Flights_H1,Flights_H2,Flights_Trend,Churn,Formal_Churn,Behavioral_Churn,Never_Flew
988178,1,1,0,0,73510.0,True,3871.07,4,0,38,55010,55010.0,679,3.1666666666666665,5,12,0.31578864266146667,0.012343210302957262,1447.6277694006067,0.0,10.0,13.0,7.0,8.0,23,15,-8,0,0,0,0
286114,0,1,0,0,73510.0,True,3872.22,1,0,14,19232,19232.0,1165,1.1666666666666667,5,6,0.4285683673688045,0.06057612281314412,1373.7044735394747,0.0,3.0,0.0,7.0,4.0,3,11,8,0,0,0,0
205785,1,3,1,0,128118.0,False,3873.65,1,0,27,40831,40831.0,1233,2.25,6,9,0.3333320987700046,0.030197643873043415,1512.253658319784,0.0,4.0,7.0,12.0,4.0,11,16,5,0,0,0,0
735304,0,3,1,0,128118.0,False,3873.65,1,0,9,16132,16132.0,608,0.75,3,6,0.6666592593415629,0.03768906497837178,1792.4245286163487,0.0,2.0,1.0,1.0,5.0,3,6,3,0,0,0,0
438936,1,2,1,0,94092.0,False,3878.77,4,0,29,37432,37432.0,0,2.4166666666666665,5,9,0.31034375743531917,0.0,1290.7541698132075,0.0,4.0,10.0,9.0,6.0,14,15,1,0,0,0,0
354730,0,1,1,0,73510.0,True,3885.46,3,0,20,36872,36872.0,0,1.6666666666666667,5,8,0.39999800000999997,0.0,1843.5907820460898,1.0,5.0,6.0,8.0,1.0,11,9,-2,1,1,1,0
413741,0,1,1,0,73510.0,True,3885.46,2,0,22,42474,42474.0,1410,1.8333333333333333,7,8,0.36363471075131476,0.03319677912794468,1930.6275880564178,1.0,7.0,1.0,10.0,4.0,8,14,6,0,0,0,0
642313,1,1,1,0,73510.0,True,3885.46,1,0,19,23282,23282.0,1506,1.5833333333333333,5,8,0.4210504155241288,0.06468516422693427,1225.361971779096,0.0,6.0,3.0,6.0,4.0,9,10,1,1,0,1,0
263080,1,1,0,0,73510.0,True,3886.5,3,0,14,16998,16998.0,0,1.1666666666666667,4,4,0.28571224491253633,0.0,1214.1341847558233,2.0,0.0,8.0,4.0,2.0,8,6,-2,0,0,0,0
109767,0,2,0,0,89062.0,False,3886.65,1,0,19,31203,31203.0,1151,1.5833333333333333,3,11,0.5789443213456771,0.03688747864984944,1642.254514449924,0.0,7.0,2.0,6.0,4.0,9,10,1,0,0,0,0
217754,0,2,0,0,102400.0,False,3887.32,2,0,20,33727,33727.0,0,1.6666666666666667,7,7,0.34999825000874996,0.0,1686.3415682921586,4.0,5.0,6.0,9.0,0.0,11,9,-2,0,0,0,0
157005,1,2,1,0,98629.0,False,3890.87,1,0,28,36212,36212.0,0,2.3333333333333335,4,11,0.3928557398009293,0.0,1293.2810954246593,1.0,10.0,5.0,11.0,2.0,15,13,-2,0,0,0,0
557752,0,2,1,0,98629.0,False,3890.87,0,0,5,11255,11255.0,0,0.4166666666666667,5,1,0.1999960000799984,0.0,2250.954980900382,0.0,0.0,0.0,0.0,5.0,0,5,5,0,0,0,0
608758,1,2,1,0,63795.0,False,3890.96,4,0,13,24928,24928.0,0,1.0833333333333333,4,7,0.5384573964815655,0.0,1917.5237113560665,0.0,1.0,5.0,2.0,5.0,6,7,1,0,0,0,0
599341,0,2,1,0,54890.0,False,3891.54,2,0,37,68642,68642.0,983,3.0833333333333335,6,12,0.3243234477744654,0.014320678281051429,1855.1841751779048,0.0,7.0,5.0,12.0,13.0,12,25,13,0,0,0,0
333502,1,1,1,0,73510.0,True,3891.58,3,0,14,19704,19704.0,0,1.1666666666666667,5,4,0.28571224491253633,0.0,1407.418518439154,1.0,3.0,0.0,9.0,2.0,3,11,8,0,0,0,0
403361,1,2,0,0,70222.0,False,3895.03,0,0,3,6183,6183.0,0,0.25,3,1,0.3333222225925802,0.0,2060.9313022899237,1.0,0.0,0.0,0.0,3.0,0,3,3,0,0,0,0
543918,1,0,1,0,40736.0,False,3896.57,5,0,30,41922,41922.0,1987,2.5,4,10,0.3333322222259259,0.04739754771385538,1397.3953420155267,0.0,7.0,4.0,12.0,7.0,11,19,8,0,0,0,0
119200,0,2,2,0,69835.0,False,3903.8,0,0,10,14956,14956.0,0,0.8333333333333334,5,4,0.39999600003999963,0.0,1495.5850441495586,0.0,0.0,5.0,1.0,4.0,5,5,0,0,0,0,0
238119,1,2,1,0,75980.0,False,3906.67,4,0,25,38650,38650.0,0,2.0833333333333335,5,8,0.31999872000512,0.0,1545.993816024736,0.0,3.0,9.0,5.0,8.0,12,13,1,0,0,0,0
730388,1,1,0,0,73510.0,True,3907.03,5,0,23,34172,34172.0,0,1.9166666666666667,6,8,0.3478245746757623,0.0,1485.7326707275186,0.0,3.0,7.0,8.0,5.0,10,13,3,0,0,0,0
127400,0,1,0,0,73510.0,True,3914.72,3,0,13,15098,15098.0,528,1.0833333333333333,3,5,0.38461242605826107,0.03497151917491377,1161.3756817255253,0.0,3.0,0.0,4.0,6.0,3,10,7,0,0,0,0
324557,0,1,0,0,73510.0,True,3914.72,4,0,16,25904,25904.0,645,1.3333333333333333,3,8,0.49999687501953116,0.02489962930474201,1618.9898813132418,1.0,1.0,3.0,8.0,4.0,4,12,8,0,0,0,0
742002,0,1,0,0,73510.0,True,3915.8,1,0,13,23503,23503.0,0,1.0833333333333333,4,4,0.3076899408466089,0.0,1807.9091699294622,2.0,2.0,7.0,0.0,4.0,9,4,-5,0,0,0,0
536567,1,2,1,0,80697.0,False,3919.37,1,0,23,28799,28799.0,0,1.9166666666666667,6,7,0.304346502841292,0.0,1252.1249907609097,0.0,1.0,3.0,12.0,7.0,4,19,15,0,0,0,0
704835,1,2,1,0,80697.0,False,3919.37,1,0,18,26459,26459.0,963,1.5,3,7,0.3888867284070644,0.03639593319325774,1469.9362781317882,0.0,3.0,3.0,4.0,8.0,6,12,6,0,0,0,0
612905,0,1,1,0,73510.0,True,3920.51,2,0,17,26824,26824.0,569,1.4166666666666667,4,7,0.41176228375127205,0.02121234707272462,1577.8730713348746,1.0,3.0,3.0,7.0,4.0,6,11,5,0,0,0,0
679908,0,2,1,0,77601.0,False,3921.02,2,0,24,39398,39398.0,535,2.0,5,9,0.3749984375065104,0.013579369476675544,1641.5764934312774,1.0,6.0,11.0,5.0,2.0,17,7,-10,0,0,0,0
704150,1,2,1,0,77601.0,False,3921.02,3,0,19,23665,23665.0,409,1.5833333333333333,5,8,0.4210504155241288,0.017282907173957713,1245.5197604223135,0.0,5.0,8.0,2.0,4.0,13,6,-7,0,0,0,0
596179,0,2,0,0,50879.0,False,3933.81,3,0,30,51941,51941.0,0,2.5,5,9,0.29999900000333335,0.0,1731.3608954636818,2.0,12.0,9.0,5.0,4.0,21,9,-12,0,0,0,0
370450,0,0,1,0,62160.0,False,3934.1,5,0,16,20586,20586.0,1382,1.3333333333333333,4,6,0.37499765626464837,0.06713300268564557,1286.6169586440085,0.0,5.0,2.0,1.0,8.0,7,9,2,0,0,0,0
501030,1,2,1,0,93541.0,False,3934.71,0,0,17,19608,19608.0,0,1.4166666666666667,4,7,0.41176228375127205,0.0,1153.404979970706,0.0,0.0,4.0,3.0,10.0,4,13,9,0,0,0,0
878633,0,4,1,0,163974.0,False,3936.79,4,0,27,34014,34014.0,0,2.25,6,7,0.25925829904333686,0.0,1259.7731119514372,0.0,7.0,10.0,7.0,3.0,17,10,-7,0,0,0,0
285938,0,2,1,0,75827.0,False,3939.01,3,0,22,34494,34494.0,0,1.8333333333333333,4,8,0.36363471075131476,0.0,1567.9019640819815,0.0,6.0,5.0,2.0,9.0,11,11,0,0,0,0,0
588237,1,2,1,0,75827.0,False,3939.01,4,0,23,22941,22941.0,939,1.9166666666666667,5,8,0.3478245746757623,0.040931083906843274,997.4304459545829,1.0,3.0,11.0,2.0,7.0,14,9,-5,0,0,0,0
645280,1,2,1,0,75827.0,False,3939.01,5,0,26,28662,28662.0,813,2.1666666666666665,6,9,0.34615251479802,0.028365082588915347,1102.3803754600945,1.0,2.0,11.0,10.0,3.0,13,13,0,0,0,0,0
124678,1,4,1,0,152955.0,False,3954.34,4,0,26,42652,42652.0,304,2.1666666666666665,6,9,0.34615251479802,0.007127450044247749,1640.4552290183499,1.0,5.0,9.0,7.0,5.0,14,12,-2,0,0,0,0
186015,1,4,1,0,152955.0,False,3954.34,2,0,16,26002,26002.0,0,1.3333333333333333,6,5,0.31249804688720695,0.0,1625.114843032231,0.0,4.0,6.0,3.0,3.0,10,6,-4,0,0,0,0
589580,1,4,1,0,152955.0,False,3954.34,2,0,27,49010,49010.0,718,2.25,5,8,0.2962951989066707,0.014650071384105139,1815.1784623019914,0.0,9.0,7.0,5.0,6.0,16,11,-5,0,0,0,0
623688,0,4,1,0,152955.0,False,3954.34,1,0,28,48235,48235.0,690,2.3333333333333335,5,9,0.3214274234734876,0.014304965244521685,1722.672419027075,0.0,8.0,7.0,7.0,6.0,15,13,-2,0,0,0,0
256147,0,1,1,0,73510.0,True,3958.0,5,0,26,42247,42247.0,339,2.1666666666666665,6,9,0.34615251479802,0.008024238388467256,1624.878365852439,0.0,5.0,8.0,9.0,4.0,13,13,0,0,0,0,0
329382,1,1,0,0,73510.0,True,3961.59,5,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
140392,0,2,1,0,96814.0,False,3963.39,4,0,15,15254,15254.0,567,1.25,4,7,0.4666635555762962,0.03717057796531678,1016.9265538229745,2.0,2.0,2.0,7.0,4.0,4,11,7,0,0,0,0
230908,1,4,2,0,217538.0,False,3964.15,5,0,29,43406,43406.0,822,2.4166666666666665,5,9,0.31034375743531917,0.018937474038295456,1496.7534594708295,0.0,4.0,12.0,6.0,7.0,16,13,-3,0,0,0,0
972581,1,0,1,0,48744.0,False,3964.53,1,0,16,20391,20391.0,639,1.3333333333333333,3,8,0.49999687501953116,0.03133735456163329,1274.4295348154074,1.0,6.0,3.0,4.0,3.0,9,7,-2,0,0,0,0
910875,0,2,1,0,84914.0,False,3966.13,5,0,8,18109,18109.0,0,0.6666666666666666,3,4,0.499993750078124,0.0,2263.596705041187,5.0,7.0,0.0,1.0,0.0,7,1,-6,0,0,0,0
501704,1,1,2,0,73510.0,True,3974.86,4,0,18,16769,16769.0,2034,1.5,5,5,0.2777762345764746,0.12129524645897044,931.6059355225805,0.0,7.0,0.0,9.0,2.0,7,11,4,0,0,0,0
529098,0,1,2,0,73510.0,True,3974.86,0,0,5,6230,6230.0,467,0.4166666666666667,5,1,0.1999960000799984,0.07495987038587688,1245.97508049839,0.0,0.0,0.0,0.0,5.0,0,5,5,0,0,0,0
567875,0,2,1,0,102457.0,False,3979.72,0,0,4,9037,9037.0,0,0.3333333333333333,2,3,0.7499812504687383,0.0,2259.1935201619963,0.0,0.0,1.0,2.0,1.0,1,3,2,0,0,0,0
688524,0,2,1,0,103862.0,False,3980.42,4,0,11,15613,15613.0,1993,0.9166666666666666,4,5,0.454541322351615,0.12765003440946626,1419.350733175153,0.0,5.0,0.0,0.0,6.0,5,6,1,0,0,0,0
269070,1,3,1,0,93153.0,False,3985.32,4,0,28,35858,35858.0,673,2.3333333333333335,4,11,0.3928557398009293,0.01876847560162732,1280.638283434702,0.0,8.0,6.0,10.0,4.0,14,14,0,0,0,0,0
387705,0,3,1,0,93153.0,False,3985.32,4,0,20,30308,30308.0,472,1.6666666666666667,5,6,0.29999850000749995,0.015573445903479458,1515.3924230378848,1.0,3.0,2.0,8.0,7.0,5,15,10,0,0,0,0
923293,1,2,2,0,86793.0,False,3985.55,1,0,32,36863,36863.0,412,2.6666666666666665,6,10,0.3124990234405517,0.011176518429925621,1151.9651501089058,0.0,5.0,8.0,15.0,4.0,13,19,6,0,0,0,0
114835,0,3,2,0,101354.0,False,4001.52,0,0,8,11280,11280.0,0,0.6666666666666666,3,4,0.499993750078124,0.0,1409.9823752203097,0.0,0.0,0.0,1.0,7.0,0,8,8,0,0,0,0
328936,0,2,1,0,53118.0,False,4005.72,2,0,27,30411,30411.0,906,2.25,6,9,0.3333320987700046,0.029791851534668862,1126.3291617438454,0.0,5.0,2.0,12.0,8.0,7,20,13,0,0,0,0
845864,0,4,1,0,115440.0,False,4013.85,4,0,26,32118,32118.0,1376,2.1666666666666665,6,8,0.3076911242649067,0.04284201991767227,1235.302941142534,2.0,5.0,14.0,6.0,1.0,19,7,-12,0,0,0,0
645265,1,2,1,0,73313.0,False,4013.95,4,0,17,27182,27182.0,0,1.4166666666666667,4,8,0.47058546714431093,0.0,1598.9317709895824,0.0,5.0,6.0,2.0,4.0,11,6,-5,0,0,0,0
223587,0,2,1,0,100167.0,False,4013.96,0,0,10,18618,18618.0,554,0.8333333333333334,4,4,0.39999600003999963,0.029756149802577344,1861.7813821861782,0.0,0.0,0.0,2.0,8.0,0,10,10,0,0,0,0
158560,1,2,1,0,59262.0,False,4014.45,2,0,15,22952,22952.0,1250,1.25,3,6,0.399997333351111,0.054461484600638356,1530.12313251245,0.0,4.0,3.0,5.0,3.0,7,8,1,0,0,0,0
417584,1,2,1,0,59262.0,False,4014.45,3,0,19,31357,31357.0,607,1.5833333333333333,6,6,0.3157878116430966,0.019357719107830088,1650.3597349487634,2.0,4.0,6.0,7.0,2.0,10,9,-1,0,0,0,0
425854,0,0,1,0,39079.0,False,4016.13,1,0,22,34662,34662.0,630,1.8333333333333333,5,7,0.31818037190740045,0.018175523575744264,1575.538293007759,0.0,3.0,7.0,9.0,3.0,10,12,2,1,0,1,0
695855,0,1,2,0,73510.0,True,4019.38,4,0,15,24299,24299.0,436,1.25,5,9,0.5999960000266665,0.017943125157647948,1619.9225338497743,1.0,7.0,2.0,4.0,2.0,9,6,-3,0,0,0,0
699511,0,1,2,0,73510.0,True,4019.38,3,0,20,30672,30672.0,0,1.6666666666666667,5,7,0.34999825000874996,0.0,1533.59233203834,1.0,6.0,3.0,9.0,2.0,9,11,2,0,0,0,0
377322,0,2,1,0,62518.0,False,4023.81,1,0,27,55363,55363.0,1059,2.25,6,8,0.2962951989066707,0.019128298648685406,2050.4738871337513,0.0,2.0,13.0,7.0,5.0,15,12,-3,0,0,0,0
511053,1,2,1,0,62518.0,False,4023.81,2,0,15,25061,25061.0,802,1.25,4,6,0.399997333351111,0.03200191519890701,1670.7221951853655,0.0,5.0,4.0,2.0,4.0,9,6,-3,0,0,0,0
890753,1,1,1,0,73510.0,True,4025.1,0,0,5,10400,10400.0,723,0.4166666666666667,5,1,0.1999960000799984,0.06951923010077664,2079.9584008319835,0.0,0.0,0.0,0.0,5.0,0,5,5,0,0,0,0
796670,0,2,1,0,47536.0,False,4035.68,3,0,30,47222,47222.0,420,2.5,6,9,0.29999900000333335,0.008894159483092289,1574.0614197952673,0.0,4.0,10.0,10.0,6.0,14,16,2,0,0,0,0
556136,0,1,1,0,73510.0,True,4035.77,0,0,18,17599,17599.0,521,1.5,6,8,0.44444197532235935,0.02960395460194355,977.7167904622752,0.0,2.0,5.0,10.0,1.0,7,11,4,0,0,0,0
513081,0,2,1,0,98320.0,False,4037.5,2,0,12,22756,22756.0,995,1.0,3,7,0.5833284722627311,0.04372473174668337,1896.3175306872442,0.0,1.0,4.0,2.0,5.0,5,7,2,0,0,0,0
930718,0,0,1,0,63577.0,False,4037.55,2,0,26,29787,29787.0,1088,2.1666666666666665,4,9,0.34615251479802,0.03652600115310034,1145.6494398098469,0.0,2.0,9.0,10.0,5.0,11,15,4,0,0,0,0
235872,0,4,0,0,89057.0,False,4046.94,4,0,26,41976,41976.0,1221,2.1666666666666665,6,7,0.2692297337317933,0.02908805024516855,1614.4553290179654,0.0,8.0,6.0,4.0,8.0,14,12,-2,0,0,0,0
295147,1,2,1,0,99814.0,False,4048.16,0,0,15,23429,23429.0,968,1.25,5,5,0.33333111112592584,0.04131631720809118,1561.9229205138633,2.0,0.0,5.0,8.0,2.0,5,10,5,0,0,0,0
306110,1,2,1,0,64587.0,False,4053.37,4,0,10,14465,14465.0,797,0.8333333333333334,4,5,0.4999950000499995,0.055098513272737557,1446.4855351446486,0.0,4.0,2.0,0.0,4.0,6,4,-2,0,0,0,0
295217,0,4,2,0,67411.0,False,4059.57,1,0,10,19259,19259.0,1034,0.8333333333333334,4,5,0.4999950000499995,0.05368918399870614,1925.8807411925882,0.0,5.0,1.0,3.0,1.0,6,4,-2,0,0,0,0
591731,1,2,1,0,51370.0,False,4064.18,4,0,24,39625,39625.0,645,2.0,4,10,0.4166649305627893,0.016277602482580183,1651.0347873550527,2.0,8.0,7.0,8.0,1.0,15,9,-6,0,0,0,0
326905,0,1,1,0,73510.0,True,4068.09,0,0,19,24066,24066.0,0,1.5833333333333333,5,6,0.3157878116430966,0.0,1266.6249125004606,2.0,0.0,10.0,7.0,2.0,10,9,-1,0,0,0,0
375511,0,2,0,0,59300.0,False,4070.05,3,0,26,36951,36951.0,1084,2.1666666666666665,6,9,0.34615251479802,0.029336147792113482,1421.1868415890708,0.0,2.0,3.0,12.0,9.0,5,21,16,0,0,0,0
485283,1,2,0,0,102479.0,False,4072.85,0,0,2,3106,3106.0,0,0.16666666666666666,1,2,0.9999500024998749,0.0,1552.9223538823057,1.0,0.0,0.0,0.0,2.0,0,2,2,0,0,0,0
797685,1,1,1,0,73510.0,True,4079.13,0,0,10,11302,11302.0,822,0.8333333333333334,4,4,0.39999600003999963,0.07273048953521068,1130.188698113019,0.0,0.0,0.0,4.0,6.0,0,10,10,0,0,0,0
216467,1,4,1,0,90995.0,False,4083.56,3,0,14,23278,23278.0,0,1.1666666666666667,5,7,0.4999964285969386,0.0,1662.7024092685053,0.0,1.0,6.0,2.0,5.0,7,7,0,0,0,0,0
539673,0,2,1,0,49558.0,False,4087.51,2,0,22,30575,30575.0,498,1.8333333333333333,5,8,0.36363471075131476,0.016287816790554972,1389.7664101526811,0.0,11.0,2.0,2.0,7.0,13,9,-4,1,1,1,0
484718,1,2,0,0,76367.0,False,4089.46,5,0,17,33867,33867.0,554,1.4166666666666667,4,7,0.41176228375127205,0.016358106663247097,1992.1647519720473,2.0,2.0,6.0,7.0,2.0,8,9,1,0,0,0,0
528492,1,2,1,0,60360.0,False,4090.75,2,0,23,48972,48972.0,821,1.9166666666666667,4,8,0.3478245746757623,0.016764681824788283,2129.208133877679,0.0,10.0,1.0,4.0,8.0,11,12,1,1,1,0,0
995091,0,2,1,0,55454.0,False,4095.2,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
632793,0,0,0,0,60370.0,False,4097.37,1,0,17,15913,15913.0,506,1.4166666666666667,4,8,0.47058546714431093,0.03179790088733802,936.0533173334275,0.0,0.0,4.0,8.0,5.0,4,13,9,0,0,0,0
382197,1,2,1,0,69367.0,False,4100.47,0,0,1,768,768.0,0,0.08333333333333333,1,1,0.9999000099990001,0.0,767.9232076792321,1.0,0.0,0.0,0.0,1.0,0,1,1,1,1,1,0
705196,0,1,0,0,73510.0,True,4101.94,4,0,28,49630,49630.0,0,2.3333333333333335,6,9,0.3214274234734876,0.0,1772.4936696654654,2.0,5.0,8.0,13.0,2.0,13,15,2,0,0,0,0
119488,0,1,0,0,73510.0,True,4108.26,0,0,13,13658,13658.0,0,1.0833333333333333,4,4,0.3076899408466089,0.0,1050.607303020746,0.0,0.0,0.0,4.0,9.0,0,13,13,0,0,0,0
287750,0,1,0,0,73510.0,True,4109.31,5,0,19,27901,27901.0,1213,1.5833333333333333,5,8,0.4210504155241288,0.04347514410424306,1468.4659554423397,0.0,6.0,5.0,6.0,2.0,11,8,-3,0,0,0,0
735846,1,2,1,0,95318.0,False,4109.79,5,0,6,6373,6373.0,1197,0.5,3,4,0.6666555557407376,0.18782362799586336,1062.1489641839303,0.0,1.0,1.0,3.0,1.0,2,4,2,0,0,0,0
606026,1,2,0,0,55207.0,False,4110.62,2,0,27,40394,40394.0,504,2.25,6,11,0.40740589849667225,0.012477100528600535,1496.0685330795072,0.0,3.0,7.0,10.0,7.0,10,17,7,0,0,0,0
460291,0,2,2,0,55476.0,False,4111.2,2,0,18,34272,34272.0,0,1.5,5,6,0.3333314814917695,0.0,1903.9894222809874,0.0,10.0,2.0,0.0,6.0,12,6,-6,0,0,0,0
743001,0,2,1,0,79533.0,False,4111.89,0,0,8,10682,10682.0,393,0.6666666666666666,5,2,0.249996875039062,0.03679086278982529,1335.2333095836302,1.0,0.0,5.0,0.0,3.0,5,3,-2,0,0,0,0
869799,0,2,1,0,79533.0,False,4111.89,2,0,7,7485,7485.0,0,0.5833333333333334,3,3,0.4285653062099113,0.0,1069.2704389937287,1.0,2.0,0.0,2.0,3.0,2,5,3,0,0,0,0
279419,0,1,0,0,73510.0,True,4117.37,4,0,41,69113,69113.0,1354,1.7083333333333333,6,15,0.3658527662127653,0.019591104394844523,1685.6788154175233,1.0,7.0,4.0,21.0,9.0,11,30,19,0,0,0,0
170585,1,2,0,0,82675.0,False,4118.59,4,0,17,27484,27484.0,405,1.4166666666666667,6,7,0.41176228375127205,0.014735846256964611,1616.6963723742801,2.0,5.0,5.0,6.0,1.0,10,7,-3,0,0,0,0
188340,1,2,0,0,82675.0,False,4118.59,0,0,20,21772,21772.0,992,1.6666666666666667,5,6,0.29999850000749995,0.04556310837055342,1088.594557027215,0.0,0.0,6.0,4.0,10.0,6,14,8,0,0,0,0
670817,1,2,0,0,82675.0,False,4118.59,1,0,21,30421,30421.0,682,1.75,4,8,0.38095056690206236,0.022418723834131935,1448.6121494659549,0.0,4.0,6.0,6.0,5.0,10,11,1,0,0,0,0
509513,1,1,0,0,73510.0,True,4121.25,5,0,25,51305,51305.0,576,2.0833333333333335,6,8,0.31999872000512,0.011226975906389288,2052.191791232835,0.0,4.0,0.0,11.0,10.0,4,21,17,0,0,0,0
779247,1,2,1,0,86987.0,False,4122.57,5,0,25,30732,30732.0,0,2.0833333333333335,6,7,0.27999888000448,0.0,1229.2750828996684,0.0,3.0,5.0,11.0,6.0,8,17,9,0,0,0,0
111255,1,0,1,0,70272.0,False,4122.96,4,0,23,31829,31829.0,0,1.9166666666666667,4,9,0.39130264651023255,0.0,1383.8635484193546,0.0,4.0,1.0,10.0,8.0,5,18,13,0,0,0,0
763061,1,2,1,0,56845.0,False,4126.61,3,0,11,21633,21633.0,515,0.9166666666666666,6,4,0.363633057881292,0.02380622186563943,1966.6184852864974,0.0,2.0,0.0,8.0,1.0,2,9,7,1,0,1,0
428919,0,2,2,0,58209.0,False,4139.9,2,0,16,24503,24503.0,0,1.3333333333333333,4,7,0.43749726564208974,0.0,1531.4279285754465,0.0,8.0,0.0,4.0,4.0,8,8,0,0,0,0,0
139863,1,2,1,0,67223.0,False,4142.56,2,0,16,33709,33709.0,857,1.3333333333333333,5,6,0.37499765626464837,0.025423477334173435,2106.799332504172,2.0,3.0,5.0,5.0,3.0,8,8,0,0,0,0,0
695755,0,2,1,0,79088.0,False,4144.87,5,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
355331,1,1,2,0,73510.0,True,4145.02,4,0,31,42129,42129.0,1915,2.5833333333333335,5,10,0.3225796045819207,0.04545562428385287,1358.9956161431737,1.0,8.0,10.0,8.0,5.0,18,13,-5,0,0,0,0
578837,1,1,0,0,73510.0,True,4152.65,5,0,21,30059,30059.0,704,1.75,4,10,0.476188208627578,0.023420606063340076,1431.3741363136367,0.0,4.0,8.0,4.0,5.0,12,9,-3,0,0,0,0
467182,0,2,1,0,102347.0,False,4160.02,4,0,22,34096,34096.0,0,1.8333333333333333,5,7,0.31818037190740045,0.0,1549.8111372221035,2.0,7.0,9.0,5.0,1.0,16,6,-10,1,1,0,0
601407,1,2,1,0,72809.0,False,4165.17,2,0,11,13832,13832.0,0,0.9166666666666666,5,3,0.272724793410969,0.0,1257.4431141535076,5.0,1.0,5.0,5.0,0.0,6,5,-1,0,0,0,0
700871,0,2,1,0,74567.0,False,4165.25,2,0,24,30458,30458.0,0,2.0,5,9,0.3749984375065104,0.0,1269.0780455081438,0.0,6.0,2.0,8.0,8.0,8,16,8,0,0,0,0
